dose_E,dose_X,live,rep,live_normalized
0.0,0.0,66.0,19/04/23,1.0
0.01,0.0,54.0,19/04/23,0.8181818181818182
0.05,0.0,46.0,19/04/23,0.696969696969697
0.1,0.0,45.0,19/04/23,0.6818181818181818
0.5,0.0,42.0,19/04/23,0.6363636363636364
1.0,0.0,32.0,19/04/23,0.48484848484848486
0.0,1.0,43.0,19/04/23,0.6515151515151515
0.01,1.0,39.0,19/04/23,0.5909090909090909
0.05,1.0,30.0,19/04/23,0.45454545454545453
0.1,1.0,30.0,19/04/23,0.45454545454545453
0.5,1.0,28.0,19/04/23,0.42424242424242425
1.0,1.0,16.0,19/04/23,0.24242424242424243
0.0,2.0,37.0,19/04/23,0.5606060606060606
0.01,2.0,31.0,19/04/23,0.4696969696969697
0.05,2.0,30.0,19/04/23,0.45454545454545453
0.1,2.0,28.0,19/04/23,0.42424242424242425
0.5,2.0,24.0,19/04/23,0.36363636363636365
1.0,2.0,15.0,19/04/23,0.22727272727272727
0.0,3.0,26.0,19/04/23,0.3939393939393939
0.01,3.0,26.0,19/04/23,0.3939393939393939
0.05,3.0,22.0,19/04/23,0.3333333333333333
0.1,3.0,19.0,19/04/23,0.2878787878787879
0.5,3.0,15.0,19/04/23,0.22727272727272727
1.0,3.0,10.0,19/04/23,0.15151515151515152
0.0,5.0,21.0,19/04/23,0.3181818181818182
0.01,5.0,19.0,19/04/23,0.2878787878787879
0.05,5.0,16.0,19/04/23,0.24242424242424243
0.1,5.0,14.0,19/04/23,0.21212121212121213
0.5,5.0,1.0,19/04/23,0.015151515151515152
1.0,5.0,9.0,19/04/23,0.13636363636363635
0.0,0.0,59.0,26/04/2023,1.0
0.01,0.0,52.0,26/04/2023,0.8813559322033898
0.05,0.0,50.0,26/04/2023,0.847457627118644
0.1,0.0,46.0,26/04/2023,0.7796610169491526
0.5,0.0,41.0,26/04/2023,0.6949152542372882
1.0,0.0,26.0,26/04/2023,0.4406779661016949
0.0,1.0,46.0,26/04/2023,0.7796610169491526
0.01,1.0,36.0,26/04/2023,0.6101694915254238
0.05,1.0,30.0,26/04/2023,0.5084745762711864
0.1,1.0,27.0,26/04/2023,0.4576271186440678
0.5,1.0,25.0,26/04/2023,0.423728813559322
1.0,1.0,14.0,26/04/2023,0.23728813559322035
0.0,2.0,38.0,26/04/2023,0.6440677966101694
0.01,2.0,30.0,26/04/2023,0.5084745762711864
0.05,2.0,27.0,26/04/2023,0.4576271186440678
0.1,2.0,22.0,26/04/2023,0.3728813559322034
0.5,2.0,21.0,26/04/2023,0.3559322033898305
1.0,2.0,12.0,26/04/2023,0.2033898305084746
0.0,3.0,30.0,26/04/2023,0.5084745762711864
0.01,3.0,28.0,26/04/2023,0.4745762711864407
0.05,3.0,26.0,26/04/2023,0.4406779661016949
0.1,3.0,20.0,26/04/2023,0.3389830508474576
0.5,3.0,18.0,26/04/2023,0.3050847457627119
1.0,3.0,10.0,26/04/2023,0.1694915254237288
0.0,5.0,18.0,26/04/2023,0.3050847457627119
0.01,5.0,16.0,26/04/2023,0.2711864406779661
0.05,5.0,15.0,26/04/2023,0.2542372881355932
0.1,5.0,11.0,26/04/2023,0.1864406779661017
0.5,5.0,11.0,26/04/2023,0.1864406779661017
1.0,5.0,10.0,26/04/2023,0.1694915254237288
0.0,0.0,55.0,22/05/2023,1.0
0.01,0.0,50.0,22/05/2023,0.9090909090909091
0.05,0.0,47.0,22/05/2023,0.8545454545454545
0.1,0.0,40.0,22/05/2023,0.7272727272727273
0.5,0.0,33.0,22/05/2023,0.6
1.0,0.0,26.0,22/05/2023,0.4727272727272727
0.0,1.0,31.0,22/05/2023,0.5636363636363636
0.01,1.0,32.0,22/05/2023,0.5818181818181818
0.05,1.0,31.0,22/05/2023,0.5636363636363636
0.1,1.0,29.0,22/05/2023,0.5272727272727272
0.5,1.0,32.0,22/05/2023,0.5818181818181818
1.0,1.0,13.0,22/05/2023,0.23636363636363636
0.0,2.0,19.0,22/05/2023,0.34545454545454546
0.01,2.0,32.0,22/05/2023,0.5818181818181818
0.05,2.0,21.0,22/05/2023,0.38181818181818183
0.1,2.0,11.0,22/05/2023,0.2
0.5,2.0,18.0,22/05/2023,0.32727272727272727
1.0,2.0,15.0,22/05/2023,0.2727272727272727
0.0,3.0,16.0,22/05/2023,0.2909090909090909
0.01,3.0,31.0,22/05/2023,0.5636363636363636
0.05,3.0,16.0,22/05/2023,0.2909090909090909
0.1,3.0,17.0,22/05/2023,0.3090909090909091
0.5,3.0,24.0,22/05/2023,0.43636363636363634
1.0,3.0,9.0,22/05/2023,0.16363636363636364
0.0,5.0,9.0,22/05/2023,0.16363636363636364
0.01,5.0,21.0,22/05/2023,0.38181818181818183
0.05,5.0,9.0,22/05/2023,0.16363636363636364
0.1,5.0,9.0,22/05/2023,0.16363636363636364
0.5,5.0,10.0,22/05/2023,0.18181818181818182
1.0,5.0,7.0,22/05/2023,0.12727272727272726
0.0,0.0,95.0,19/06/2023,1.0
0.01,0.0,71.0,19/06/2023,0.7473684210526316
0.05,0.0,70.0,19/06/2023,0.7368421052631579
0.1,0.0,68.0,19/06/2023,0.7157894736842105
0.5,0.0,58.0,19/06/2023,0.6105263157894737
1.0,0.0,54.0,19/06/2023,0.5684210526315789
0.0,1.0,68.0,19/06/2023,0.7157894736842105
0.01,1.0,61.0,19/06/2023,0.6421052631578947
0.05,1.0,52.0,19/06/2023,0.5473684210526316
0.1,1.0,55.0,19/06/2023,0.5789473684210527
0.5,1.0,46.0,19/06/2023,0.4842105263157895
1.0,1.0,42.0,19/06/2023,0.4421052631578947
0.0,2.0,43.0,19/06/2023,0.45263157894736844
0.01,2.0,41.0,19/06/2023,0.43157894736842106
0.05,2.0,35.0,19/06/2023,0.3684210526315789
0.1,2.0,32.0,19/06/2023,0.3368421052631579
0.5,2.0,31.0,19/06/2023,0.3263157894736842
1.0,2.0,31.0,19/06/2023,0.3263157894736842
0.0,3.0,28.0,19/06/2023,0.29473684210526313
